3	616
15	938
26	501
26	552
26	634
44	815
59	474
60	313
60	932
62	92
85	406
92	293
94	916
95	843
112	351
112	772
112	784
126	784
127	702
143	856
151	716
155	431
166	205
168	938
191	353
194	313
194	406
194	650
194	716
197	600
201	592
229	673
234	13
258	410
269	406
276	92
276	201
276	551
290	897
293	94
293	429
293	896
303	92
303	916
308	293
308	524
308	537
311	846
313	716
313	843
317	816
328	788
335	317
341	511
353	920
387	537
400	544
404	827
406	524
406	561
407	650
408	898
428	724
428	863
429	561
457	716
474	524
489	587
529	853
554	764
561	846
587	724
600	826
616	920
634	637
634	938
650	749
650	843
724	863
755	853
784	841
801	920
809	920
