7	373
7	406
7	450
7	650
7	846
33	616
59	474
59	716
60	666
92	343
94	916
109	804
111	673
112	616
112	683
112	772
112	784
112	856
130	880
141	938
158	387
178	144
178	378
178	533
178	682
178	916
179	515
197	466
197	619
197	826
198	916
222	417
222	551
222	682
222	880
241	783
249	606
268	158
268	387
268	497
271	18
271	474
271	716
276	94
276	456
276	551
276	682
276	896
282	529
284	784
293	435
293	592
293	864
301	7
301	622
301	916
303	880
308	18
308	271
308	343
308	474
313	716
328	788
356	408
356	856
362	772
378	788
378	864
385	833
393	682
393	880
405	846
406	881
408	898
414	511
416	450
416	682
425	682
429	916
435	497
435	682
435	880
451	489
451	587
489	587
497	648
497	682
497	727
515	673
524	561
551	682
554	764
580	714
587	752
589	646
589	853
589	856
600	826
648	881
682	896
682	916
724	863
738	749
740	791
772	856
889	916
