7	13
7	429
7	524
7	846
7	896
13	450
18	151
22	638
37	746
40	574
40	915
54	294
59	406
64	738
94	417
94	429
94	435
94	804
94	889
128	618
140	824
151	474
168	101
168	714
194	7
194	59
194	94
194	301
194	429
194	716
197	600
201	561
268	417
271	474
273	866
276	268
293	94
293	804
301	823
311	846
313	650
313	716
313	749
313	804
326	766
328	788
339	561
339	804
362	687
378	457
405	846
408	898
416	450
435	472
435	551
435	804
435	868
435	896
450	537
460	733
474	716
489	587
510	812
510	824
524	535
529	755
553	704
600	826
648	749
648	804
650	716
650	804
660	804
674	879
749	804
755	853
766	892
772	853
915	920
