16	823
18	151
18	398
22	158
26	294
26	665
26	938
33	502
40	574
54	403
54	938
56	757
57	141
57	938
59	450
72	686
87	727
87	804
92	378
92	653
92	682
94	416
94	429
94	653
94	682
94	758
104	624
109	347
112	616
130	435
130	880
141	552
141	634
141	938
151	716
158	638
159	938
164	938
168	714
168	938
173	451
178	109
178	347
178	416
194	293
194	398
194	429
194	653
194	804
194	823
201	339
207	533
216	453
217	37
217	619
222	94
222	347
222	399
222	416
222	435
222	682
234	474
251	117
265	730
267	886
271	398
271	406
276	94
276	417
276	551
276	682
280	450
281	589
291	682
293	1
293	416
293	682
293	896
294	548
294	938
301	487
301	561
303	276
303	880
308	16
308	59
308	198
308	271
308	406
308	524
308	537
308	716
312	932
313	326
313	650
313	716
313	892
317	362
320	757
327	429
327	514
327	592
328	533
328	788
332	347
339	387
344	514
347	374
347	727
362	687
362	772
363	864
373	727
373	749
378	457
378	588
378	653
378	788
379	823
384	616
384	820
393	435
398	429
399	864
403	938
404	616
406	429
406	537
406	747
407	479
408	898
429	537
429	653
432	703
435	880
451	489
458	666
487	682
487	715
489	587
489	724
489	853
497	727
543	883
548	825
548	938
551	682
551	896
554	764
587	724
587	853
589	724
600	826
616	724
616	755
616	856
618	864
634	637
650	892
653	804
674	879
678	742
694	716
703	730
715	757
716	892
727	749
738	774
738	815
747	870
749	804
749	864
793	910
800	879
823	933
825	938
864	886
864	896
886	933
892	896
